Size,MergeSortTime,InsertionSortTime
40850,0.025739,0.856445
40900,0.025915,0.861485
40950,0.026199,0.859534
41000,0.026163,0.864307
41050,0.02595,0.864701
41100,0.025947,0.870216
41150,0.026154,0.871752
41200,0.026276,0.872892
41250,0.026805,0.886655
41300,0.026187,0.883759
41350,0.026862,0.879748
41400,0.026239,0.877658
41450,0.026797,0.882522
41500,0.026992,0.887425
41550,0.027276,0.89273
41600,0.026551,0.886254
41650,0.026452,0.893408
41700,0.026423,0.894495
41750,0.026531,0.898295
41800,0.026788,0.905867
41850,0.026533,0.905982
41900,0.026657,0.901132
41950,0.027098,0.905735
42000,0.0277,0.902884
42050,0.026583,0.907913
42100,0.026765,0.911862
42150,0.027187,0.918211
42200,0.026817,0.912354
42250,0.027404,0.925076
42300,0.027009,0.922395
42350,0.027432,0.924082
42400,0.026952,0.931116
42450,0.026855,0.930601
42500,0.027036,0.93488
42550,0.027312,0.929058
42600,0.027086,0.932969
42650,0.027153,0.93434
42700,0.026964,0.936615
42750,0.027466,0.939205
42800,0.02742,0.941695
42850,0.027678,0.951249
42900,0.027934,0.950881
42950,0.027598,0.946956
43000,0.02785,0.951832
43050,0.02766,0.953327
43100,0.027499,0.956915
43150,0.027772,0.961315
43200,0.028205,0.96516
43250,0.027467,0.963077
43300,0.027573,0.962916
43350,0.027664,0.968032
43400,0.028201,0.979841
43450,0.027784,0.976098
43500,0.027966,0.979916
43550,0.027756,0.978081
43600,0.028243,0.976722
43650,0.027803,0.978528
43700,0.02782,0.980794
43750,0.028385,0.979041
43800,0.027937,0.989474
43850,0.02817,0.995543
43900,0.028411,0.990898
43950,0.028367,0.997308
44000,0.028065,1.00538
44050,0.028202,0.996806
44100,0.027939,1.00012
44150,0.028179,1.00084
44200,0.028104,1.00692
44250,0.029022,1.00913
44300,0.028542,1.01982
44350,0.028738,1.01882
44400,0.028709,1.01966
44450,0.028972,1.01488
44500,0.028499,1.02042
44550,0.028407,1.02185
44600,0.029292,1.03268
44650,0.028618,1.03109
44700,0.028616,1.03444
44750,0.028623,1.03853
44800,0.029209,1.03236
44850,0.028464,1.03644
44900,0.029494,1.04082
44950,0.028555,1.0429
45000,0.028987,1.0496
45050,0.028891,1.04539
45100,0.028761,1.05168
45150,0.028809,1.05306
45200,0.029563,1.05466
45250,0.029382,1.05536
45300,0.02952,1.05635
45350,0.029198,1.06559
45400,0.029444,1.06696
45450,0.029099,1.06692
45500,0.02888,1.0792
45550,0.029326,1.06396
45600,0.029105,1.07245
45650,0.029586,1.07665
45700,0.0293,1.08158
45750,0.028971,1.08128
45800,0.029163,1.08138
45850,0.029179,1.08156
45900,0.029582,1.09102
45950,0.02918,1.09393
46000,0.029519,1.09171
46050,0.029315,1.09535
46100,0.02955,1.09461
46150,0.029973,1.09736
46200,0.029307,1.10409
46250,0.030186,1.10734
46300,0.030215,1.10724
46350,0.029676,1.10516
46400,0.029473,1.11663
46450,0.030023,1.11649
46500,0.030009,1.12904
46550,0.030939,1.11493
46600,0.030079,1.1298
46650,0.030271,1.1235
46700,0.030674,1.12496
46750,0.049823,1.13004
46800,0.030098,1.14071
46850,0.029808,1.13121
46900,0.029848,1.14175
46950,0.030403,1.14146
47000,0.029956,1.15324
47050,0.030721,1.14184
47100,0.030075,1.14748
47150,0.030379,1.14521
47200,0.03034,1.14275
47250,0.029895,1.14294
47300,0.030437,1.14057
47350,0.031005,1.15241
47400,0.030101,1.15831
47450,0.030521,1.15807
47500,0.030695,1.15705
47550,0.030098,1.16798
47600,0.031332,1.17032
47650,0.030162,1.17328
47700,0.030714,1.17133
47750,0.030491,1.18405
47800,0.031048,1.18246
47850,0.030833,1.18394
47900,0.030404,1.18282
47950,0.030737,1.17752
48000,0.030693,1.18663
48050,0.030848,1.18707
48100,0.031104,1.1914
48150,0.030611,1.1993
48200,0.030848,1.20064
48250,0.030874,1.20836
48300,0.030859,1.21173
48350,0.031056,1.20756
48400,0.031262,1.21052
48450,0.0307,1.21358
48500,0.030801,1.21762
48550,0.031094,1.22423
48600,0.031293,1.22264
48650,0.031317,1.22409
48700,0.031392,1.22813
48750,0.031239,1.21629
48800,0.031085,1.22298
48850,0.031567,1.22636
48900,0.030945,1.23126
48950,0.031273,1.23705
49000,0.031422,1.23356
49050,0.031309,1.238
49100,0.031046,1.24703
49150,0.031696,1.24206
49200,0.03135,1.24882
49250,0.031633,1.26563
49300,0.032099,1.25261
49350,0.031321,1.25828
49400,0.032336,1.26922
49450,0.031718,1.27157
49500,0.032035,1.26171
49550,0.031837,1.26818
49600,0.032308,1.27093
49650,0.031682,1.27158
49700,0.031566,1.27383
49750,0.032582,1.27343
49800,0.032285,1.27991
49850,0.031843,1.28375
49900,0.032557,1.27659
49950,0.032319,1.2943
50000,0.032873,1.28513
50050,0.031771,1.29713
50100,0.032014,1.29722
50150,0.031805,1.29457
50200,0.032117,1.30809
50250,0.032095,1.29664
50300,0.032408,1.30703
50350,0.032188,1.30422
50400,0.032915,1.31348
50450,0.032526,1.31711
50500,0.032849,1.31431
50550,0.032567,1.31715
50600,0.032952,1.32161
50650,0.032929,1.32069
50700,0.032898,1.33384
50750,0.032542,1.33536
50800,0.032511,1.3337
50850,0.032938,1.38718
50900,0.033068,1.34014
50950,0.033259,1.34312
51000,0.032952,1.33972
51050,0.032515,1.34294
51100,0.032674,1.35
51150,0.032861,1.34986
51200,0.033458,1.35385
51250,0.033189,1.35693
51300,0.032907,1.36123
51350,0.033061,1.36228
51400,0.032734,1.35776
51450,0.032729,1.36651
51500,0.033554,1.36447
51550,0.033154,1.37867
51600,0.033454,1.37495
51650,0.033442,1.38231
51700,0.03382,1.37543
51750,0.033436,1.38474
51800,0.03317,1.38556
51850,0.033431,1.39101
51900,0.03352,1.39304
51950,0.033901,1.39113
52000,0.034057,1.39705
52050,0.033526,1.40289
52100,0.034024,1.40715
52150,0.033528,1.41301
52200,0.033784,1.40309
52250,0.033404,1.40282
52300,0.033548,1.41535
52350,0.033763,1.41467
52400,0.033849,1.44373
52450,0.033499,1.41853
52500,0.033567,1.42286
52550,0.034465,1.42854
52600,0.033768,1.42638
52650,0.033795,1.42942
52700,0.034195,1.42651
52750,0.033736,1.43462
52800,0.033994,1.43877
52850,0.034835,1.43996
52900,0.034338,1.44614
52950,0.034457,1.44853
53000,0.034083,1.44792
53050,0.034211,1.45565
53100,0.034678,1.45447
53150,0.03513,1.46317
53200,0.034874,1.46662
53250,0.034131,1.45003
53300,0.034174,1.46955
53350,0.03468,1.47069
53400,0.034483,1.46963
53450,0.034164,1.4727
53500,0.034927,1.47349
53550,0.034192,1.48372
53600,0.035216,1.49044
