Size,MergeSortTime,InsertionSortTime
18400,0.01089,0.299459
18450,0.011057,0.300253
18500,0.011268,0.30201
18550,0.011264,0.303232
18600,0.011362,0.306764
18650,0.011412,0.307217
18700,0.011373,0.308737
18750,0.011289,0.310925
18800,0.011439,0.312479
18850,0.011285,0.312916
18900,0.011547,0.315848
18950,0.011666,0.320648
19000,0.011567,0.321881
19050,0.011676,0.319532
19100,0.011524,0.321801
19150,0.011948,0.321946
19200,0.011483,0.32901
19250,0.011528,0.326981
19300,0.01174,0.329154
19350,0.011726,0.334474
19400,0.01193,0.33169
19450,0.011857,0.334831
19500,0.011717,0.334883
19550,0.011917,0.335978
19600,0.011929,0.340588
19650,0.012001,0.338159
19700,0.012006,0.346174
19750,0.011921,0.341699
19800,0.011938,0.347605
19850,0.011967,0.348299
19900,0.011971,0.348244
19950,0.012227,0.352176
20000,0.012212,0.355332
20050,0.01222,0.355444
20100,0.012189,0.368658
20150,0.012285,0.358316
20200,0.012347,0.364115
20250,0.012498,0.362558
20300,0.012296,0.361327
20350,0.012348,0.367962
20400,0.012503,0.367401
20450,0.012313,0.370396
20500,0.012421,0.371498
20550,0.012609,0.371883
20600,0.012481,0.373763
20650,0.01271,0.377065
20700,0.012643,0.377487
20750,0.012455,0.381362
20800,0.012726,0.385399
20850,0.012661,0.386614
20900,0.012878,0.385313
20950,0.012555,0.38548
21000,0.012589,0.387471
21050,0.013281,0.39271
21100,0.012777,0.397213
21150,0.012915,0.394198
21200,0.012891,0.397633
21250,0.012819,0.398327
21300,0.013129,0.404164
21350,0.01275,0.401052
21400,0.012867,0.405767
21450,0.013195,0.407335
21500,0.013174,0.406824
21550,0.01312,0.407098
21600,0.013185,0.415525
21650,0.013294,0.414484
21700,0.013323,0.419829
21750,0.013261,0.421923
21800,0.01336,0.415641
21850,0.013289,0.421549
21900,0.01342,0.426462
21950,0.013484,0.425485
22000,0.013473,0.425125
22050,0.013455,0.430894
22100,0.013568,0.43258
22150,0.013662,0.434679
22200,0.013411,0.437981
22250,0.013648,0.434602
22300,0.013588,0.438516
22350,0.013637,0.444973
22400,0.013782,0.445014
22450,0.013896,0.445519
22500,0.013724,0.447565
22550,0.013731,0.445969
22600,0.013601,0.455111
22650,0.013844,0.451539
22700,0.013811,0.457414
22750,0.013978,0.459914
22800,0.013959,0.46091
22850,0.014022,0.466185
22900,0.014005,0.462189
22950,0.013916,0.463451
23000,0.013992,0.467961
23050,0.01386,0.47007
23100,0.013893,0.473061
23150,0.014098,0.471216
23200,0.014211,0.478018
23250,0.014222,0.476176
23300,0.014129,0.480176
23350,0.014155,0.485749
23400,0.014374,0.485287
23450,0.014634,0.479789
23500,0.014451,0.486357
23550,0.014362,0.493003
23600,0.014289,0.489225
